state,city,address
California, Susanville,http://216.198.113.50
Indiana, Terre Haute,http://139.102.69.210
California, Newport Beach,http://107.184.1.209
New York, Potsdam,http://128.153.6.54
Alabama, Huntsville,http://107.7.159.179
Virginia, Charlottesville,http://216.197.65.70:8081
Michigan, Ann Arbor,http://141.212.23.19
Florida, Fort Walton Beach,http://68.109.14.99:8082
Georgia, Athens,http://168.30.200.162
California, El Dorado Hills,http://67.187.164.116
California, San Francisco,http://50.156.29.39:8082
California, San Francisco,http://173.167.97.20:8080
California, San Francisco,http://166.248.145.184
California, San Francisco,http://67.169.44.170:8080
California, San Francisco,http://50.131.63.83:8081
California, San Francisco,http://50.156.29.39:8081
California, San Francisco,http://50.196.166.205:8000
California, San Francisco,http://67.188.118.248:8000
California, San Francisco,http://208.106.16.91:8001
California, San Francisco,http://173.13.132.110:9000
California, San Francisco,http://74.95.6.193:8001
California, San Francisco,http://75.149.45.190
California, San Francisco,http://70.36.196.123
California, San Francisco,http://98.234.5.44:8081
New York, New York City,http://166.155.188.192
New York, New York City,http://74.64.33.86:8001
New York, New York City,http://72.89.161.77:8000
New York, New York City,http://108.41.24.124
New York, New York City,http://100.12.6.250:82
New York, New York City,http://100.12.6.250:83
New York, New York City,http://50.74.179.18:8000
New York, New York City,http://50.77.34.122
New York, New York City,http://23.246.89.122:81
New York, New York City,http://69.193.154.174:82
Massachusetts, Boston,http://23.30.169.125:9001
Massachusetts, Boston,http://73.171.106.221
Massachusetts, Boston,http://50.169.176.124
Massachusetts, Boston,http://173.9.43.97:88
Massachusetts, Boston,http://155.41.145.37
District Of Columbia, Washington,http://96.88.203.225:82
District Of Columbia, Washington,http://96.88.203.225:83
District Of Columbia, Washington,http://173.166.182.117:8080
California, Los Angeles,http://70.238.16.46:8001
California, Los Angeles,http://107.85.112.44:10000
California, Los Angeles,http://128.125.238.27
California, Los Angeles,http://104.172.22.79:82
California, Los Angeles,http://68.181.93.31
California, Los Angeles,http://108.89.187.38:10000
California, Los Angeles,http://71.9.45.58:82
California, Los Angeles,http://157.242.44.61
California, Los Angeles,http://74.87.124.58
California, Los Angeles,http://96.80.66.54:8000
California, Los Angeles,http://108.240.50.57
Washington, Seattle,http://67.183.80.89
Washington, Seattle,http://72.43.43.30:8090
Washington, Seattle,http://208.125.214.187
Washington, Seattle,http://72.43.43.22:8082
Washington, Seattle,http://128.95.77.64
Washington, Seattle,http://173.10.83.218
Washington, Seattle,http://24.19.104.125
Zuid-Holland, Leiden,http://89.146.24.89
California, Rancho Cucamonga,http://166.142.9.104
Friesland, Heerenveen,http://62.195.173.101
Sums'Ka Oblast', Sumy,http://176.108.235.100:2000
Norrbottens Lan, Norrfjarden,http://90.225.103.105
Tirol, Innsbruck,http://88.116.9.106:8001
Groningen, Groningen,http://213.124.86.98:8084
Stockholms Lan, Stockholm,http://83.226.125.99
Delhi, Delhi,http://115.248.249.92
Sachsen, Saritsch,http://93.220.182.97
Vaud, Renens,http://84.226.199.94:8082
Vaud, Renens,http://84.226.199.94:8081
Oslo, Oslo,http://37.253.166.97:8080
New Jersey, Mount Laurel,http://73.232.57.90:8081
Arizona, Florence,http://166.143.98.90:8001
Piemonte, Venaria Reale,http://79.54.32.89:82
Bern, Saint-Imier,http://83.78.149.89
Kwazulu-Natal, Pietermaritzburg,http://41.146.220.90:82
Kwazulu-Natal, Pietermaritzburg,http://41.146.220.90:81
Riga, Riga,http://62.85.79.87:83
British Columbia, Campbell River,http://50.98.63.90:88/
Bahia, Maracas,http://187.109.215.84
Friesland, Bilgaard,http://77.174.249.87:88
Tirol, Neustift Im Stubaita,http://83.218.179.89:91
Piemonte, Torino,http://81.92.36.85:82
England, Porlock,http://31.50.253.83:85
Western Cape, Cape Town,http://197.89.230.73:8090
Baden-Wurttemberg, Rettigheim,http://92.206.80.73:8001
Thuringen, Marbach,http://217.88.185.71:82
La Rioja, Logrono,http://81.33.4.68:85
Nordrhein-Westfalen, Dinslakenerbruch,http://79.197.115.68:8001
Overijssel, Genemuiden,http://94.215.177.70:8083
Akhaia, Patrai,http://94.65.250.66:8080
Pays De La Loire, Nantes,http://80.11.208.66
Zuid-Holland, Rotterdam,http://92.110.230.65:8081
Mecklenburg-Vorpomme, Oldenburg,http://46.80.181.65:8080
Wien, Vienna,http://217.14.238.61:81
Stockholms Lan, Stockholm,http://81.230.37.61
Piemonte, Viarigi,http://37.130.155.62:82
Piemonte, Viarigi,http://37.130.155.62:81
Berlin, Berlin,http://188.193.247.59:82
Queensland, Railway Estate,http://111.220.94.60
Vastra Gotaland, Vara,http://90.224.46.60:8080
Noord-Holland, Duivendrecht,http://92.109.117.59:82
Zurich, Zuerich,http://85.0.38.60
Alberta, Duagh,http://174.3.68.56:89
Moskva, Dolgoprudnyy,http://91.193.222.58:8084
Moskva, Dolgoprudnyy,http://91.193.222.58:8082
Moskva, Dolgoprudnyy,http://91.193.222.58:8081
Dalarnas Lan, Borlaenge,http://82.196.119.56:89
Graubunden, Chur,http://85.3.8.55
New York, Poughkeepsie,http://135.13.130.51
Illinois, Wheaton,http://173.9.211.53
Mexico, Coacalco,http://189.245.105.53
New Jersey, Harrington Park,http://173.63.197.76
New Jersey, Mount Laurel,http://73.119.210.85:8888
England, Newbury,http://213.83.78.76:8001
Rhone-Alpes, Lyon,http://82.127.63.71:94
England, Orton Waterville,http://31.48.232.53:81
Schleswig-Holstein, Vorwerk,http://31.19.49.51:8081
